Antibody,Virus,Reference,Pubmed ID,IC50,IC80,ID50
10E8-10fH/4fL,PVO_4,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.6,,
10E8-10fH/4fL,Q168_A2,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.72,,
10E8-10fH/4fL,Q23_17,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.95,,
10E8-10fH/4fL,Q769_H5,Georgiev et al. J Immunol 192:1100 (2014),24391217,13.7,,
10E8-10fH/4fL,THRO4156,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.365,,
10E8-10fH/4fL,TRJO4551_58,Georgiev et al. J Immunol 192:1100 (2014),24391217,5.01,,
10E8-10fH/4fL,TRO_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.074,,
10E8-10fH/4fL,YU2,Georgiev et al. J Immunol 192:1100 (2014),24391217,11.3,,
10E8-10fH/4fL,ZA012_29,Georgiev et al. J Immunol 192:1100 (2014),24391217,3.87,,
10E8-10fH/4fL,ZM106_9,Georgiev et al. J Immunol 192:1100 (2014),24391217,>50,,
10E8-10fH/4fL,ZM55_28A,Georgiev et al. J Immunol 192:1100 (2014),24391217,11.4,,
10E8-19fH/10fL,6101_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.002,,
10E8-19fH/10fL,92RW020_2,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.49,,
10E8-19fH/10fL,BAL_01,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.235,,
10E8-19fH/10fL,BG1168_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.371,,
10E8-19fH/10fL,CAAN5342,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.5,,
10E8-19fH/10fL,DU156_12,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.019,,
10E8-19fH/10fL,DU422_1,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.25,,
10E8-19fH/10fL,JRCSF,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.183,,
10E8-19fH/10fL,JRFL,Georgiev et al. J Immunol 192:1100 (2014),24391217,0.362,,
10E8-19fH/10fL,KER2018_11,Georgiev et al. J Immunol 192:1100 (2014),24391217,1.85,,
